"country","reigon","total_population","gdp_gross_domestic_product","gdp_growth_rate","gdp_per_capita","Unemployment","population_growth_rate","urban_population","infant_mortality_rate","quality_of_life_index","purchasing_power_index","security_index","health_index","cost_of_living","rent_index"
"Argentina","SouthAmerica","44271","632343","2.4","14564.5","6.5","1","91.8","13.7","139.59","58.4","37.37","73.3","52.57","13.92"
"Australia","Oceania","24451","1230859","2.4","51352.2","5.5","1.5","89.4","3.9","176.54","101.94","57.58","74.25","80.66","42.54"
"Austria","WesternEurope","8736","376967","1","44117.7","6.2","0.6","66","3.3","190.37","95.66","80.75","80.91","71.52","25.86"
"Belarus","EasternEurope","9468","54609","-3.9","5750.8","0.5","~0.0","76.7","3.6","119.23","36.43","77.74","53.76","33.84","12.21"
"Belgium","WesternEurope","11429","455107","1.5","40277.8","8.3","0.6","97.9","3.5","160.52","91.02","55.49","78.92","75.36","29.64"
"Bosnia and Herzegovina","SouthernEurope","3507","16251","3.1","4265","25.4","-1","39.8","7.6","139.14","51.29","59.03","61.49","35.05","6.22"
"Brazil","SouthAmerica","209288","1772591","-3.8","8528.3","12.4","0.9","85.7","15.8","96.15","42.38","29.38","51.7","53.07","15.52"
"Bulgaria","EasternEurope","7085","48953","3","6846.8","8.1","-0.6","73.9","8.3","138.2","51.4","59.82","54.03","36.49","8.91"
"Canada","NorthernAmerica","36624","1552808","0.9","43205.6","7.1","1","81.8","4.7","167.18","108.01","60.75","69.23","70.16","29.84"
"Chile","SouthAmerica","18055","240796","2.3","13416.2","6.8","0.9","89.5","7.4","136.2","61.28","52.5","60.97","50.09","15.43"
"China, Hong Kong SAR","EasternAsia","7365","309236","2.4","42431","3.5","0.6","100","1.6","94.45","81.45","79.32","67.99","79.96","84.08"
"China","EasternAsia","1409517","11158457","6.9","8109.1","4.6","0.5","55.6","11.6","90.95","67.84","66.1","62.25","44.76","18.67"
"Colombia","SouthAmerica","49066","292080","3.1","6056.1","10.5","1","76.4","17.9","115.38","37.63","48.31","65.79","34.45","10.69"
"Croatia","SouthernEurope","4189","48676","1.6","11479.4","11.7","-0.4","59","3.9","170.63","60.71","72.2","65.49","48","10.09"
"Cyprus","WesternAsia","1180","19561","1.7","21941.9","10.3","0.9","66.9","4.2","166.64","95.92","67.54","54.23","54.07","12.28"
"Czechia","EasternEurope","10618","185156","4.5","17561.7","3.9","0.1","73","2.5","165.41","76.22","69.82","74.09","41.22","14.83"
"Denmark","NorthernEurope","5734","301308","1.6","53149.3","6","0.5","87.7","3.5","184.92","98.76","78.87","75.45","83.02","35.02"
"Egypt","NorthernAfrica","97553","315917","4.2","3452.3","11.5","2.3","43.1","18.9","91.81","29.39","47.14","43.73","22.36","5.03"
"Estonia","NorthernEurope","1310","22460","1.4","17112","7.2","-0.3","67.5","3.2","171.09","68.48","77","71.3","49.5","13.98"
"Finland","NorthernEurope","5523","231960","0.2","42148.1","8.9","0.4","84.2","2.3","182.93","114.97","75.37","74.85","73.06","26.95"
"France","WesternEurope","64980","2418946","1.3","36304.2","9.8","0.4","79.5","3.4","160.25","87.29","56.34","78.62","74.89","24.83"
